ID,Text,English Translations,Annotated Emotions 1,Annotated Emotions 2,Annotated Emotions 3,Annotated Emotions 4,Annotated Emotions 5
19,Salut din Germania🙋🏻‍♀️ Ne bucurăm si va mulțumim că ne postați pe youtube acest gen de emisiune 🙂 Chiar va multumim♥️,"Greetings from Germany 🙋🏻‍♀️ We are happy and thank you for posting this kind of show on YouTube. 🙂 Truly, thank you. ♥️",Joy,,,,
20,A fost genial <|PERSON|> ești woaw maxima recunoștință pentru acest Podcast 🤗🤗,"It was brilliant! <|PERSON|>, you are wow! My utmost gratitude for this podcast. 🤗🤗",Joy,Surprise,,,
21,Am un vecin care locuiește singur 94 de ani Cardiopathic Vara iese în pantaloni trei sferturi și teniși Lam dacă el se teme de virusul coroana mia răspuns cu un zâmbet viclean și jenat că se uită la tv puțin și încă nu înțelege ce este El e leacul pentru CV,"I have a neighbor who lives alone, 94 years old, with heart disease. In the summer he goes out in shorts and sneakers. I asked if he is afraid of the coronavirus. He answered with a sly, shy smile that he doesn't watch much TV and still doesn’t understand what it is. He is the cure for COVID.",Joy,Surprise,,,
22,Surse Marea surpriză din Bucureşti Ce fief PSD ar putea fi câştigat de USRPLUS,Sources: Big surprise in Bucharest. What PSD stronghold could be won by USRPLUS.,Surprise,,,,
23,Un om care merita tot respectul 💐💐💐,A man who deserves all the respect. 💐💐💐,Joy,Surprise,,,
24,E o emisiune foarte frumoasa eu nu ma prea uit la televizor dar emisiunea asta o ador și eu și copii Felicitări pentru toată munca depusa,"It is a very beautiful show. I don’t really watch TV, but I adore this one, and so do the kids. Congratulations for all the hard work.",Joy,,,,
25,China pune un nou oraş în carantină după o creştere alarmată a cazurilor,China puts a new city under lockdown after an alarming increase in cases.,Fear,,,,
26,Taximetrist anarhist Bucuresti Bucur Obor,"Anarchist taxi driver. Bucharest, Bucur Obor.",NULL,,,,
27,Disperare maxima in PSD se pare,"Maximum despair in PSD, it seems.",Disgust,,,,
28,Te dezumanizeaza ca om Eu nici cu carantina din Romania nu am fost de acord A fost impinsa la extrem Sunam in Romania si auzeam prin telefon urletele alea ingrozitoare la portavoce cu “ Stati in case Stati in case ” Mi,It dehumanizes you as a person. I didn’t agree with the lockdown in Romania either. It was pushed to the extreme. I used to call Romania and hear through the phone those horrible loudspeaker screams: “Stay in your homes! Stay in your homes!”,Anger,Disgust,Fear,Sadness,Surprise
29,Eugenia <|PERSON|> o profesionista desăvârșită cu invitați de clasă 👍👍👍,"Eugenia <|PERSON|>, a complete professional with first-class guests. 👍👍👍",Joy,,,,
30,Daca nu au un sindicat al lor au scris si ei ce le a trecut prin cap Tara lui Papura Voda😔,"If they don’t have their own union, they just wrote whatever came to mind. No man's land. 😔",Anger,Disgust,Sadness,,
31,Comunicatul DNA care pune cruce afacerii secolului,The DNA statement that puts an end to the deal of the century.,NULL,,,,
32,Ar trebui sa închide granița că ne vin toți infectați in țară,They should close the border because all the infected people are coming into the country.,Anger,Disgust,Fear,Sadness,
33,Directorul pus de <|PERSON|> la Colentina ii da afara pe doctorii care au indraznit sa arate mizeria din spital,The director appointed by <|PERSON|> at Colentina is firing the doctors who dared to show the filth in the hospital.,Anger,Disgust,Surprise,,
34,Doamneeee cum vorbește omul ăsta <|PERSON|> e demențial Podcastul ăsta e tot ce trebuie e ireproșabil Felicitări <|PERSON|> pentru alegerea făcută,"My God, the way this man talks, <|PERSON|> is incredible! This podcast has everything it needs, it’s flawless. Congratulations, <|PERSON|>, for your choice.",Joy,,,,
35,Toate MĂSURILE deja adoptate pentru limitarea răspânidrii coronavirusului Regulile prevăzute trebuie respectate cu strictețe de fiecare român,All the measures already adopted to limit the spread of the coronavirus. The rules provided must be strictly followed by every Romanian.,NULL,,,,
36,Să vă fie rușine nu fac cemi spuneți voi,Shame on you! I won’t do what you tell me to.,Anger,Disgust,,,
37,Mesajul unui medic militar pentru cei care nu cred în COVID Aveţi grijă istoria îşi plăteşte greşelile,"Message from a military doctor for those who don’t believe in COVID: Be careful, history pays for its mistakes.",Fear,Sadness,,,
38,Seară bună Vă urmăresc cu mare atenție,Good evening. I’m following you closely.,Joy,,,,
39,Cat de frumos vorbeste despre noua lui familie Foarte emotionant podcastul,How beautifully he speaks about his new family. A very emotional podcast.,Joy,Surprise,,,
40,ce sa stie asta cand inca face scoala online,What would he know when he’s doing school online,Disgust,,,,
41,De plimbare prin centrul Bucurestiului si sa cumpar flori de langa palatul Bragadirul Ce moment frumos in viata,A walk through downtown Bucharest and buying flowers near the Bragadiru Palace. What a beautiful moment in life.,Joy,,,,
42,Tresar de fiecare dată când îmi aduc aminte de cât de rece era pielea ei și culoarea aceea movalbăstruie ca de cadavru,"I flinch every time I remember how cold her skin was and that pale bluish-purple color, like a corpse.",Disgust,Fear,Sadness,,
43,Ce se mai fura in Romania,What’s being stolen in Romania nowadays.,Anger,Disgust,Sadness,,
44,Biserica Ortodoxă Română vinde şi asigurări RCA,The Romanian Orthodox Church is also selling car insurance.,Disgust,Surprise,,,
45,Inteligenta frumusețe blândețedoamna <|PERSON|> să vă țină bunul <|PERSON|> mulți ani,"Intelligence, beauty, kindness, mrs. <|PERSON|>, may the good <|PERSON|> keep you for many years.",Joy,,,,
46,In primele luni de sarcina eram asa emotiva 🥰🥰 Mia placut mult de <|PERSON|> faptul ca nu isi ascunde emotiile si ca a aratat si fata din spatele artistului,In the first months of pregnancy I was so emotional 🥰🥰 I really liked <|PERSON|> for not hiding her emotions and for showing the person behind the artist.,Joy,,,,
47,Am abandonat vizionarea din cauza reclamelor Prea multe reclame,I stopped watching because of the ads. Too many ads.,Disgust,Sadness,,,
48,Autoritățile din Timiș propun ca Făgetul să intre în carantină după ce numărul infectate cu Covid19 a crescut alarmant,The authorities in Timiș propose that Făget enter quarantine after the number of COVID-19 infections rose alarmingly.,Fear,,,,
49,1980 editia 5 Stiinta si Tehnica Prezent si perspective in terotehnologia calculatoarelor,"1980, issue 5, Science and Technology: Present and future in computer terotechnology.",NULL,,,,
50,a aparut podcastul acesta din nimic asa miati facut ziua mai buna va multumesc si felicitari 😇,This podcast appeared out of nowhere; you really made my day better. Thank you and congratulations. 😇,Joy,,,,
51,Un invitat mai savuros decat <|PERSON|> nici ca se putea as ascultao incontinuu o zi intreaga Felicitari,A guest more delightful than <|PERSON|> couldn’t exist. I could listen to her all day long. Congratulations.,Joy,,,,
52,ALARMANT Număr foarte mare de infectări cu coronavirus în ultimele 24 de orePână astăzi 17 iunie pe teritoriul României au fost confirmate <|URL|> de cazuri de,"Alarming. A very high number of coronavirus infections in the last 24 hours. As of June 17, <|URL|> cases have been confirmed in Romania.",Fear,Sadness,,,
53,DNA a constituit un nou dosar penal la Posta Romana in urma neregulilor sesizate de Ministerul Comunicatiilor,The DNA has opened a new criminal case at the Romanian Post following irregularities reported by the Ministry of Communications.,Disgust,Sadness,,,
54,Cutremur de 56 grade resimtit in Romania,Earthquake of magnitude 5.6 felt in Romania.,Fear,Surprise,,,
55,Ai grijă Mâine vei fi transformat în ceea ce ești acum de către vrăjitoare,Be careful. Tomorrow you will be turned into what you are now by the witch.,Anger,Disgust,Fear,,
56,Puteti merge si in vizita pe la laboratoarele de la politehnica aceeasi mancare de peste,You can also visit the labs at the Polytechnic; same thing.,Disgust,,,,
57,Mesajul fotbalistului bătut și jefuit în propria casă ” A fost o experiență oribilă ” Cât valorează bunurile furate,Message from the football player who was beaten and robbed in his own home: “It was a horrible experience.” The value of the stolen goods.,Fear,Sadness,,,
58,Casa triungiulară de la Alba Iulia cea mai frumoasă din Transilvania Cum arată locuinţa care se pierde în peisaj,"The triangular house in Alba Iulia, the most beautiful in Transylvania. How the home that blends into the landscape looks.",Joy,Surprise,,,
59,Ce diferență sa faca dacă oamenii nu mai ies vii de la ATI Ce incredere sa mai ai,What difference does it make if people no longer come out alive from the ICU? What trust can you still have?,Anger,Disgust,Fear,Sadness,
60,Fotografii cu incendiile din Războiul din Golf care au transformat Kuweitul întrun iad,Photos of the fires from the Gulf War that turned Kuwait into hell.,Fear,Sadness,Surprise,,
61,WOW Astăzi sunt cele mai multe cazuri de coronavirus de la începutul pandemiei,Wow. Today there are the most coronavirus cases since the start of the pandemic.,Fear,Surprise,,,
62,Mulțumesc pentru inima deschisă <|PERSON|> ❤,"Thank you for your open heart, <|PERSON|>. ❤",Joy,,,,
63,Orice om îi este frică de 4 asasini,Every person is afraid of four assassins.,Fear,,,,
64,Oameni minunati si frumosi va iubim,"Wonderful and beautiful people, we love you.",Joy,,,,
65,Paranoia este un proces de gândire puternic afectat de anxietate sau frică de multe ori până la iraționalitate și delirschimbări accentuate de personalitate Gândirea paranoică este caracterizată de obicei de neîncred,"Paranoia is a thinking process strongly affected by anxiety or fear, often to the point of irrationality and delusion, with pronounced personality changes. Paranoid thinking is usually characterized by distrust.",Sadness,,,,
66,Accept dar nu sunt de acord cu atac subtil la adresa lui <|PERSON|>,"I accept, but I don’t agree with the subtle attack on <|PERSON|>.",Anger,,,,
67,<|PERSON|> e puternică inteligentă E important să aibă sănătate și liniște în casă Succes în continuare, <|PERSON|> is strong and intelligent. It’s important for her to be healthy and at peace at home. Good luck going forward.,Joy,,,,
68,Roaming afla cat Internet Mobil ai din 15 iunie la abonamentele si cartelele Orange Vodafone si Telekom,"Roaming: find out how much mobile internet you have starting June 15 on Orange, Vodafone, and Telekom subscriptions and prepaid cards.",NULL,,,,
69,Lui <|PERSON|> nu îi place să audă că e dublu infractor,<|PERSON|> doesn’t like to hear that he’s a double offender.,Disgust,,,,
70,<|PERSON|> un actor pentru o vesnicie un gigant o bucurie de om,"<|PERSON|>, an actor for eternity, a giant, a joy of a human being.",Joy,Surprise,,,
71,News Alert Poziția oficială a KLM la amenințarea cu bombă pe aeronava cu destinația amsterda,News Alert: The official KLM position regarding the bomb threat on the aircraft bound for Amsterdam.,Fear,,,,
72,<|PERSON|> este un om extraordinar cu o energie pozitiva Ar merita lunar o emisiune numai cu ei doi Incredibila puterea de educare a acestor oameni minunati Felicitari tuturor,<|PERSON|> is an extraordinary person with positive energy. They would deserve a monthly show with just the two of them. The educational power of these wonderful people is incredible. Congratulations to everyone.,Joy,Surprise,,,
73,Un omperfect Asta este o r a r a perfectiuneBravo Aceea <|PERSON|> iubeste toată România,A perfect man. This is a rare perfection. Bravo. That <|PERSON|> is loved by all of Romania.,Joy,Surprise,,,
74,Totu pentru putere eu cred că 20 de pușcărie e puțin Țara e în stare de urgență,All for power. I think 20 years in prison is too little. The country is in a state of emergency.,Anger,Disgust,Fear,Sadness,
75,AAÎ că <|PERSON|> Lăpunșneanul a fost scris de <|PERSON|>,So that’s how <|PERSON|> Lăpușneanul was written by <|PERSON|>.,NULL,,,,
76,Ce OM exceptional Lumea nu trebuie inteleasa ci iubita <|PERSON|> te urmaresc din Italia Multa sanatate,"What an exceptional man. The world doesn’t need to be understood, but loved. <|PERSON|>, I follow you from Italy. Wishing you good health.",Joy,Surprise,,,
77,Teorie si probleme pentru BAC la informatica,Theory and problems for the computer science baccalaureate.,NULL,,,,
78,Wow Fără cuvinte Acest podcast chiar mia dat de gândit la și despre multe lucruri Mulțumesc amândurora,"Wow, speechless. This podcast really made me think about a lot of things. Thank you both.",Joy,Surprise,,,
79,Pandemia de coronavirus va provoca o foamete de „proporții biblice” avertizează ONU,"The coronavirus pandemic will cause famine of “biblical proportions,” warns the UN.",Fear,Sadness,Surprise,,
80,Trageti niste cadre extraordinare montajul excelent Felictari pentru efortul depus dar nu mia venit niciodata sa vomit de la un videoclip asa cum mia venit de la asta,"You shot some extraordinary footage, the editing is excellent. Congratulations for the effort, but I’ve never felt like vomiting from a video before like I did with this one.",Disgust,Joy,Surprise,,
81,<|PERSON|> Revenirea economică în V o iluzie România se află pe marginea prăpastiei,<|PERSON|>: The V-shaped economic recovery is an illusion. Romania is on the edge of the abyss.,Anger,Fear,Sadness,,
82,„Mesajele lui <|PERSON|> au fost extrem de încurajatoare Nea bătut pe umăr”,“<|PERSON|>’s messages were extremely encouraging. He patted us on the back.”,Joy,,,,
83,Am găsit intervievatorul foarte agasant Tot respectul meu domnule <|PERSON|> pentru răbdarea de care ați dat dovadă fiind intrerupt la FIECARE întrebare,"I found the interviewer very annoying. All my respect, Mr. <|PERSON|> , for the patience you showed while being interrupted at EVERY question.",Anger,Disgust,,,
84,Istoria se repetă Ce părere are şeful armatei britanice despre posibilitatea unui Al Treilea Război Mond Mediafax,History repeats itself. What the head of the British army thinks about the possibility of a Third World War. Mediafax.,Fear,,,,
85,Clipe de coșmar pentru un din Tiraspol Automobilul pe care a încercat săl pornească a luat foc,Nightmare moments for a man from Tiraspol. The car he tried to start caught fire.,Fear,Sadness,Surprise,,
86,Vreau sa va mulțumesc pentru acest episod un invitat special cu o capacitate extraordinara de a vorbi pe întelesul tuturor Felicitări domnule <|PERSON|> și echipei Dvs,"I want to thank you for this episode, a special guest with an extraordinary ability to speak in a way everyone can understand. Congratulations, Mr. <|PERSON|>, and your team.",Joy,Surprise,,,
87,Apelul disperat al unui medic internat cu coronavirus „E cumplit Trebuie să aveţi grijă de noi”,The desperate appeal of a doctor hospitalized with coronavirus: “It’s awful. You must take care of us.”,Fear,Sadness,Surprise,,
88,Primăria Capitalei si primariile de sector au epuizat spațiile de carantinare,The Bucharest City Hall and the district city halls have run out of quarantine spaces.,Fear,Sadness,,,
89,Felicitări Oamenii cu suflet MARE mulțumesc,"Congratulations. People with big hearts, thank you.",Joy,,,,
90,Suntem prea săraci ca sa ne permitem sa susținem masurile de înghețare a veniturilor Preturile și facturile nu îngheață dimpotriva cresc Ori în ritmul asta daca neoliberalii nu au de gând sa mărească veniturile romanii săraci vor muri de foame Iar ratele Vai și amar,"We are too poor to afford to support income-freeze measures. Prices and bills don’t freeze, on the contrary, they rise. At this rate, if the neoliberals don’t plan to raise incomes, poor Romanians will starve. And the loans... what misery.",Anger,Disgust,Fear,Sadness,
91,Ar fi foarte frumoasa o continuare La fel ca episodul cu <|PERSON|> și cu <|PERSON|> cred că o continuare ar fi pansament pentru suflet 🥰🥰🥰🥰🥰🥰🥰🥰,"A continuation would be wonderful. Just like the episode with <|PERSON|> and <|PERSON|>, I think a sequel would be a balm for the soul. 🥰🥰🥰🥰🥰🥰🥰🥰",Joy,,,,
92,PERICOL MAJOR aproape de România <|PERSON|> semnal de alarmă Rusia e slabă azi dar DCNews,"Major danger near Romania. <|PERSON|> raises the alarm, Russia is weak today, but... DCNews.",Fear,,,,
93,Am pierdut un tenis in vama ,I lost a sneaker in Vama.,Sadness,,,,
94,azi întro ora am primul date ever cu un tip care e mai soft decât o bezea și ma ia anxietatea grav și pe și e la fel de anxios ca mine tot ce pot sa zic este uratimi succesuri și doamne ajuta sa nu ma fac de căcat,"Today, in an hour, I have my first date ever with a guy softer than a marshmallow, and my anxiety is through the roof, and he’s just as anxious as me. All I can say is wish me luck and God help me not embarrass myself.",Fear,Joy,Surprise,,
95,Oameni din Cluj Aveți o canapea liberă pentru câteva nopți pe durata Electric Castle,"People from Cluj, does anyone have a free couch for a few nights during Electric Castle?",NULL,,,,
96,Asa arata Eleganta si Bunul simt Felicitari frumoasa Doamna Va admir ♥️🇹🇩,"This is what elegance and good manners look like. Congratulations, beautiful lady. I admire you. ♥️🇹🇩",Joy,,,,
97,Mai mulți șoferi șiau distrus mașinile după ce au circulat pe prima autostradă din Moldova,Several drivers destroyed their cars after driving on Moldova’s first highway.,Anger,Disgust,Fear,Sadness,
98,E de la antene de la 5G,It’s from the 5G antennas.,NULL,,,,
99,☆︎ Pădurea Radovan din anii 40 locuitorii vorbesc despre fantoma unei mirese care bântuie prin pădure conform legendei o tânără venită din Moldova pentru a scăpa de sărăcie ajunge în Radovan unde avea să fie abuzată de un bogat al satului,"☆︎ The Radovan Forest: from the 1940s, the locals talk about the ghost of a bride haunting the forest. According to legend, a young woman from Moldova came to escape poverty and ended up in Radovan, where she was abused by a rich man from the village.",Fear,,,,
100,Bătaie în şcoală live pe Facebook,Fight at school streamed live on Facebook.,Disgust,Sadness,,,
101,Controlorii de bilete din Cluj vor purta camere video,Ticket inspectors in Cluj will wear body cameras.,Surprise,,,,
102,Italian in stare critica la spital dupa ce a fost batut in trafic la Timisoara,Italian man in critical condition at the hospital after being beaten in traffic in Timișoara.,Anger,Disgust,Fear,Sadness,
103,România ar fi naturalizat un luptător ISIS Acuze grave la adresa medaliatului olimpic <|PERSON|>,Romania allegedly granted citizenship to an ISIS fighter. Serious accusations against Olympic medalist <|PERSON|>.,Fear,Sadness,Surprise,,
104,Nu ar fi rău să mai vedem asemenea cetățeni,It wouldn’t be bad to see more citizens like this.,Joy,,,,
105,Numărul de infectați cu noul coronavirus crește alarmant în SUA Care sunt motivele,The number of people infected with the new coronavirus is rising alarmingly in the U.S. What are the reasons?,Fear,Surprise,,,
106,Super tare podcastul Cu cât ascult mai multe îmi dau seama cât de multe am de învățat Multumesc din suflet pentru ceea ce faceți,"The podcast is awesome. The more I listen, the more I realize how much I still have to learn. Thank you from the bottom of my heart for what you do.",Joy,,,,
107,FOTOVIDEO Dezastru după poluarea de pe râul Lăpuş,Photo and video: Disaster after the pollution on the Lăpuș River.,Sadness,,,,
108,Huawei România se declară „surprinsă” și „profund îngrijorată” după ce deputatul <|PERSON|> a acuzat „tentative de intimidare” din partea companiei,Huawei Romania declares itself “surprised” and “deeply concerned” after deputy <|PERSON|> accused the company of “intimidation attempts.”,Disgust,Surprise,,,
109,O placere să vă ascult Singuri ajungem mai repede dar împreună ajungem mai departe Mulțumim de tot ce faceți,"A pleasure to listen to you. Alone we get there faster, but together we go further. Thank you for everything you do.",Joy,Surprise,,,
110,De ce iubește și urăște România manelele cu atâta înverșunare,Why does Romania love and hate manele music with such passion?,Disgust,Surprise,,,
111,În plan personal cel mai tare mie teamă de locurile în care aș putea să ajung Cred că dacă încă nu e un iad acolo va fi în curând,"On a personal level, I’m most afraid of the places I might end up. I think that if it’s not already hell, it will be soon.",Fear,Sadness,,,
112,Draga <|PERSON|> sa ti dea <|PERSON|> sanatate si putere de munca multumim pt tot ce ne oferi esti o dulce,"Dear <|PERSON|>, may <|PERSON|> give you health and strength for your work. Thank you for all you give us, you’re so sweet.",Joy,,,,
113,ah cand a afus o colega bete din alea de lumineaza in intjneric si leam rupt si am inceput sa aruncam cu lichidul ala pe pereti si pe dupa neam speriat ca se vedea pe pereti si pe lumina,"Ah, when a classmate had those glow sticks and I broke them, and we started throwing the liquid on the walls, and afterward we got scared because it glowed on the walls in the light.",Fear,Joy,Surprise,,
114,Huawei pare să dea o mare palmă Autorităților Americane vânzând divizia de smartphoneuri Honor Citește articolul,"Huawei seems to have given a major slap to the U.S. authorities by selling its smartphone division, Honor. Read the article.",Surprise,,,,
115,Schimbare URIASA ce se va Intampla de la 1 Februarie,"Huge change, what will happen starting February 1.",Surprise,,,,
116,Semafoarele inteligente din Timișoara ”au murit” din nou Haos de nedescris în trafic,The smart traffic lights in Timișoara “died” again. Chaos beyond words in traffic.,Anger,Disgust,Sadness,,
117,Explozie nucleara Rusia Cum ne protejam de radiatii,Nuclear explosion in Russia. How to protect ourselves from radiation.,Fear,Sadness,Surprise,,
118,Artă contemporană din restaurantul Parlamentului României,Contemporary art from the restaurant of the Romanian Parliament.,Disgust,,,,
119,Incendiul care a poluat miercuri Cum a ajuns ferma de porci din Periș un dezastru ecologic afacerile familiei <|PERSON|> și cine este noul proprietar Mediu,"The fire that caused pollution on Wednesday, how the pig farm in Periș became an ecological disaster, the business of the <|PERSON|> family, and who the new owner is. Environment.",Anger,Disgust,Fear,Sadness,Surprise
120,Miau dat lacrimile citind ce ai scris ❤,I teared up reading what you wrote. ❤,Joy,Sadness,Surprise,,
121,Ma gandesc ca nici alimente nu mai AIDoamne ai grija de ei,"I’m thinking maybe they don’t even have food anymore. Oh God, take care of them.",Fear,Sadness,,,
122,Poliția de Frontieră Arad aliniază un grup de refugiați sirieni care sunt urmăriți penal pentru infracţiunea de tentativă de trecere frauduloasă a frontierei de stat,Border Police in Arad line up a group of Syrian refugees who are under criminal investigation for attempted illegal border crossing.,NULL,,,,
123,Sa le Nuti asuma meritul pentru munca lor stimate,"Don’t take credit for their work, dear sir.",Anger,Disgust,,,
124,Mitropolitul <|PERSON|> al Greciei sa vaccinat Tacere de moarte a BOR niciun inalt ierarh roman nu a anuntat ca se va vaccina,"Archbishop<|PERSON|> of Greece got vaccinated. Dead silence from the Romanian Orthodox Church, no high-ranking Romanian cleric has announced getting vaccinated.",Disgust,,,,
125,Cel mai bun prezentator si cel mai pasnic <|PERSON|> ❤,The best host and the most peaceful <|PERSON|>. ❤,Joy,,,,
126,O lecție de viata o femeie puternica Respect,A life lesson. A strong woman. Respect.,Joy,,,,
127,Condamn ferm intervenția brutală a Jandarmeriei puternic disproporționată în raport cu manifestările majorității oamenilor din Piața Victoriei,"I strongly condemn the brutal intervention of the Gendarmerie, which was grossly disproportionate compared to the behavior of most people in Victoria.",Anger,Disgust,Sadness,,
128,Eforie Nord O zi cu EA în mare ep 2,"Eforie Nord. A day with her at the seaside, episode 2.",NULL,,,,
129,SudoriMIG MAG Lacatusiconfectii metalice Operatori CNC,"MIG-MAG welders, metalwork fitters, CNC operators.",NULL,,,,
130,Cifră neverificabilă dată de niște autorități recunoscute de decenii ca fiind corupte și incompetente și care acuma forțează instaurarea dictaturii speriind lumea,"An unverifiable figure given by authorities recognized for decades as corrupt and incompetent, who are now forcing the establishment of a dictatorship by scaring people.",Anger,Disgust,Fear,Sadness,
131,<|PERSON|> condamnat la 5 ani pentru corupere de minori și ponografie <|PERSON|> recruta copii din tabere scolare,<|PERSON|> sentenced to 5 years for corruption of minors and pornography. <|PERSON|> recruited children from school camps.,Anger,Disgust,Sadness,Surprise,
132,Am scris un text despre studiul de limbi,I wrote a text about language learning.,NULL,,,,
133,Găsită prin galerie Turnul cu Ceas din Sighișoara 20 aprilie 2019,"Found in the gallery: The Clock Tower of Sighișoara, April 20, 2019.",NULL,,,,
134,Cautati pe youtube Chipicao Collection 20002020,Search on YouTube: Chipicao Collection 2000–2020.,NULL,,,,
135,Timpul prezent – despre simbolurile religioase afişate în şcoli şi universităţi,Present Tense — about religious symbols displayed in schools and universities.,NULL,,,,
136,UN PLOIEŞTEAN A MURIT DUPĂ O BĂTAIE CU AGENTUL DE PAZĂ LA CASINO EUROPA BĂRBATUL SA LOVIT CU CAPUL DE UN STÂLP DIN BETON,A man from Ploiești died after a fight with a security guard at Casino Europa. The man hit his head on a concrete pillar.,Anger,Disgust,Sadness,,
137,Mai are Romania sanse sa se ridice din groapa in care se afla,Does Romania still have a chance to rise from the hole it’s in?,Disgust,Sadness,,,
138,<|PERSON|> sal odihneasca in pace Cultura te inaltate lumineazalumineaza si impune respect Amintiri minunate Felicitari si respect Doamna Sunteti de valoare,"May <|PERSON|> rest in peace. Culture uplifts, enlightens, and inspires respect. Wonderful memories. Congratulations and respect, Madam. You are a person of value.",Joy,,,,
139,mie tot de asta îmi e frică Sunt curios sa vad cum vor prezenta și de legăturile aur cu rusia și de importanta mersului la vot,This is exactly what I’m afraid of. I’m curious to see how they’ll talk about AUR’s ties to Russia and about the importance of voting.,Disgust,Fear,Sadness,Surprise,
140,UPDATE Cel puţin 28 de morţi şi peste 70 de răniţi în urma unui dublu atentat sinucigaş la Bagdad,Update: At least 28 dead and over 70 injured following a double suicide bombing in Baghdad.,Fear,Sadness,Surprise,,
141,Timișoara Cetate Complexul Piarist 1908,"Timișoara Citadel, Piarist Complex, 1908.",NULL,,,,
142,Întradevăr este nu spun că nu dar habar nu ai ce tunuri se trag de pe urma pandemiei,"Indeed it is, I’m not saying it’s not, but you have no idea what kinds of schemes are being pulled during this pandemic.",Anger,Disgust,Fear,Sadness,
143,HALUCINANT Muncitorii romani au pierdut “CARTITA” de la gazoductul GIURGIURUSE,Shocking. Romanian workers lost the “mole” from the GIURGIU–RUSE gas pipeline.,Anger,Sadness,Surprise,,
144,a venit un mos sa se certe cu ai mei de lemne si pământ fix sub geamul meu si nu știam inițial de ce m a luat o anxietate vai de capul meu,"An old man came to argue with my parents about wood and land right under my window, and at first I didn’t know why, but my anxiety spiked like crazy.",Anger,Disgust,Fear,Sadness,Surprise
